Course Title,Meeting Pattern
HU4461 Topics in Humanities II (HU4461-001),G13L5
HU4470 Topics in the Study of Religion (HU4470-001),G13L5
"HU4490 Women's, Gender, and Sexuality Studies (HU4490-002)",D135L
"HU4490 Women's, Gender, and Sexuality Studies (HU4490-003)",F14L5
JA3052 Journeys into Japanese II (JA3052-001),C13L5
JA3652 Navigating in Japanese II (JA3652-001),D135L
LA3052 Latin Elements II (LA3052-001),A12L4
LA4050 Caesar in Gaul and Britannia (LA4050-001),B14L5
LA4652 Sallust and Cicero II (LA4652-001),D135L
MA4002 Precalculus & Modeling w/ Advanced Topics II (MA4002-001),A12L34
MA4002 Precalculus & Modeling w/ Advanced Topics II (MA4002-002),B124L5
MA4002 Precalculus & Modeling w/ Advanced Topics II (MA4002-003),C13L45
MA4002 Precalculus & Modeling w/ Advanced Topics II (MA4002-004),D1235L
MA4002 Precalculus & Modeling w/ Advanced Topics II (MA4002-005),E12L35
MA4022 AP Calculus AB w/ Advanced Topics II (MA4022-001),B124L5
MA4022 AP Calculus AB w/ Advanced Topics II (MA4022-002),F134L5
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-002),A12L34
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-003),B124L5
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-004),B124L5
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-005),C13L45
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-006),C13L45
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-007),D1235L
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-008),E12L35
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-009),E12L35
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-010),F134L5
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-011),F134L5
MA4050 Modeling with Differential Equations (MA4050-003),E12L5
MA4050 Modeling with Differential Equations (MA4050-004),F134L5
MA4060 Multivariable Calculus (MA4060-004),D1235L
MA4060 Multivariable Calculus (MA4060-005),E12L35
MA4102 AP Statistics w/ Advanced Topics II (MA4102-001),C13L45
MA4102 AP Statistics w/ Advanced Topics II (MA4102-002),D1235L
MA4102 AP Statistics w/ Advanced Topics II (MA4102-003),F134L5
MA4110 Foundations of Data Science (MA4100-003),C13L45
MA4110 Foundations of Data Science (MA4110-004),D1235L
MA4112 Advanced Data Science (MA4112-001),A12L34
MA4210 Topics in Civic Mathematics (MA4210-001),G13L5
MA4230 Complex Systems and Modern Networks (MA4230-001),A12L34
MA4240 Numerical Analysis (MA4240-001),B124L5
MA4300 Combinatorics and Game Theory (MA4300-001),A12L34
MA4300 Combinatorics and Game Theory (MA4300-002),C13L45
MA4310 Topics in Theoretical Mathematics (MA4310-001),A12L34
MA4500 Graph Theory with REX Math (MA4500-004),E12L35
MR4051a Mentorship: Senior Research II (MR4051a-001),F14LE2L
MR4051b Mentorship: Senior Research (MR4051b-001),F14LE2L
MU3500 Classical Piano and Guitar (MU3500-004),E135
MU3500 Classical Piano and Guitar (MU3500-005),G135
MU4100 Chorale (MU4100-003),H13
MU4110 Wind Ensemble (MU4110-003),H24
MU4110 Wind Ensemble (MU4110-004),M12345
MU4120 Jazz Performance Workshop (MU4120-002),C13L5
MU4130 Orchestra (MU4130-004),H2C3L5
MU4130 Orchestra (MU4130-005),H2F35
MU4130 Orchestra (MU4130-006),M12345
MU4310 AP Music Theory (MU4310-001),M1
MU4400 History of Western Music (HU4400-001),I2
PA1000 Racquet Sports I (PA1000-002),A2L
PA1000 Racquet Sports I (PA1000-003),E2L
PA1003 Disc Sports (PA1003-001),B4L
PA1005 Weight Trng/Sprts & Fitness (PA1005-002),C3L
PA1005 Weight Trng/Sprts & Fitness (PA1005-002),C3L
PA1005 Weight Trng/Sprts & Fitness (PA1005-003),G3L
PA1005 Weight Trng/Sprts & Fitness (PA1005-003),G3L
PA1005 Weight Trng/Sprts & Fitness (PA1005-004),F4L
PA1005 Weight Trng/Sprts & Fitness (PA1005-004),F4L
PA1006 Team Sports (PA1006-002),G5L
PA1006 Team Sports (PA1006-002),G5L
PA1006 Team Sports (PA1006-003),D5L
PA1006 Team Sports (PA1006-003),D5L
PA1007 Pilates & Yoga (PA007-003),A2L
PA1007 Pilates & Yoga (PA007-003),A2L
PA1007 Pilates & Yoga (PA1007-002),E2L
PA1007 Pilates & Yoga (PA1007-002),E2L
PA1008 Self Defense (PA1008-002),C3L
PA1008 Self Defense (PA1008-002),C3L
PA1009 Hiking (PA1009-002),A2L
PH3500 Physics Core: Mechanics (PH3500-007),B124L5
PH3500 Physics Core: Mechanics (PH3500-008),F134L5
"PH3920 Waves Sound, and Optics (PH3920-001)",C13L45
"PH3920 Waves Sound, and Optics (PH3920-002)",B124L5
"PH3920 Waves Sound, and Optics (PH3920-003)",F134L5
PH4000 Physics Core: E&M (PH4000-002),A12L34
PH4000 Physics Core: E&M (PH4000-003),E12L35
PH4000 Physics Core: E&M (PH4000-004),C13L45
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-008),D1235L
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-009),E12L35
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-003),C13L45
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-004),B124L5
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-005),A12L34
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-006),E12L35
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-007),F134L5
PH4130 Computational Physics (PH4130-002),C13L45
PH4180 Astrophysics (*R*) (PH4180-002),B124L5
PH4180 Astrophysics (*R*) (PH4180-003),D1235L
PH4241 AP Physics C: E&M (PH4241-001),A12L34
RE1010 Exploring MultiCultural Amer (RE1010-003),A2
RE1010 Exploring MultiCultural Amer (RE1010-004),G3
RE1012 Public Speaking (RE1012-002),A2
RE1012 Public Speaking (RE1012-003),G3
RE1018 Excellence in Leadership (RE1018-001),F3
RE1018 Excellence in Leadership (RE1018-002),A4
RE1020 Financial Planning (RE1020-006),B2
RE1020 Financial Planning (RE1020-007),E3
RE1022 College and Career Planning (RE1022-001),A2
