Term,Section,Course Number and Title,Meeting Pattern
Spring,2,EN4600 Research Experience in the Humanities,H24
Spring,3,EN4600 Research Experience in the Humanities,F124L
Spring,4,EN4600 Research Experience in the Humanities,G12L4
Spring,1,FR3052 Journeys into French II,A1245
Spring,1,FR3652 Navigating in French II,B1345
Spring,1,FR4652 Modern French Readings/Media,E13L5
Spring,1,HU4010 Applications in Entrepreneurship,C3H1
Spring,1,"HU4300 Whose America? Immigrant Experiences, 1910-present ",B14L5
Spring,2,HU440 Black Studies,C13L5
Spring,2,HU4410 Critical Race Theory,C13L5
Spring,1,HU4420 Digital Humanities,D135L
Spring,1,HU4440 Film Studies,F124L
Spring,2,HU4440 Film Studies,E13L5
Spring,1,HU4461 Topics in Humanities II: Mind as Maker of AI,E13L5
Spring,1,HU4470 Topics in the Study of Religion,A12L4
Spring,1,"HU4490 Women's, Gender, and Sexuality Studies ",B13L5
Spring,1,JA3052 Journeys into Japanese II,C13L5
Spring,1,JA3652 Navigating in Japanese II,D135L
Spring,1,LA3052 Latin Elements II,A12L4
Spring,1,LA4050 Caesar in Gaul and Britannia,B14L5
Spring,1,LA4662 Ovid's Metamorphoses II,D135L
Spring,1,MA4002 Precalculus & Modeling w/ Advanced Topics II,D1235L
Spring,2,MA4002 Precalculus & Modeling w/ Advanced Topics II,G12L34
Spring,3,MA4002 Precalculus & Modeling w/ Advanced Topics II,C13L45
Spring,4,MA4002 Precalculus & Modeling w/ Advanced Topics II,E123L5
Spring,5,MA4002 Precalculus & Modeling w/ Advanced Topics II,F1234L
Spring,1,MA4022 AP Calculus AB w/ Advanced Topics II,D1235L
Spring,2,MA4022 AP Calculus AB w/ Advanced Topics II,E123L5
Spring,2,MA4032 AP Calculus BC w/ Advanced Topics II,A12L45
Spring,3,MA4032 AP Calculus BC w/ Advanced Topics II,B134L5
Spring,4,MA4032 AP Calculus BC w/ Advanced Topics II,C13L45
Spring,5,MA4032 AP Calculus BC w/ Advanced Topics II,D1235L
Spring,6,MA4032 AP Calculus BC w/ Advanced Topics II,E123L5
