Term,Section,Course Number and Title,Meeting Pattern
Fall,1,AR4100 Drawing,C13L5
Fall,1,AR4110 Painting,D135L
Fall,1,AR4310 Digital Photography,H24
Fall,1,AR4520 Advanced Studio Art,M123
Fall,1,AS4051 American Studies I,A12L45
Fall,2,AS4051 American Studies I,A12L45
Fall,16,AS4051 American Studies I,A12L45
Fall,6,AS4051 American Studies I,B134L5
Fall,7,AS4051 American Studies I,B134L5
Fall,14,AS4051 American Studies I,B134L5
Fall,3,AS4051 American Studies I,C13L45
Fall,4,AS4051 American Studies I,C13L45
Fall,18,AS4051 American Studies I,C13L45
Fall,24,AS4051 American Studies I,C13L45
Fall,10,AS4051 American Studies I,D1235L
Fall,11,AS4051 American Studies I,D1235L
Fall,20,AS4051 American Studies I,B134L5
Fall,22,AS4051 American Studies I,D1235L
Fall,8,AS4051 American Studies I,E123L5
Fall,9,AS4051 American Studies I,E123L5
Fall,15,AS4051 American Studies I,E123L5
Fall,12,AS4051 American Studies I,F1234L
Fall,13,AS4051 American Studies I,F1234L
Fall,21,AS4051 American Studies I,E123L5
Fall,23,AS4051 American Studies I,F1234L
Fall,5,AS4051 American Studies I,G12L34
Fall,17,AS4051 American Studies I,G12L34
Fall,19,AS4051 American Studies I,G12L34
Fall,25,AS4051 American Studies I,G12L34
Fall,1,BI3640 Developmental Biology (*R*),A12L45
Fall,2,BI3640 Developmental Biology (*R*),C13L45
Fall,1,BI4010 Anatomy & Physiology,B134L5
Fall,3,BI4010 Anatomy & Physiology,D1235L
Fall,2,BI4010 Anatomy & Physiology,F1234L
Fall,1,BI4020 Ecology (*R*),C13L45
Fall,2,BI4020 Ecology (*R*),E123L5
Fall,1,BI4040 Climate Change Biology,A12L45
Fall,2,BI4040 Climate Change Biology,G12L34
Fall,1,BI4110 Molecular Genetics (*R*),B134L5
Fall,2,BI4110 Molecular Genetics (*R*),F1234L
Fall,1,BI4140 Molecular & Cellular Biol,A12L45
Fall,2,BI4140 Molecular & Cellular Biol,G12L34
Fall,1,BI4210 AP Biology (I) (*R*),A12L45
Fall,2,BI4210 AP Biology (I) (*R*),C13L45
Fall,1,BI4922 Research in Biology III (*R*),F1234LG12L34
Fall,2,BI4922 Research in Biology III (*R*),F1234LG12L34
Fall,1,CH3500 Chemistry Core - Atoms & Molecules,B134L5
Fall,3,CH3500 Chemistry Core - Atoms & Molecules,D1235L
Fall,2,CH3500 Chemistry Core - Atoms & Molecules,F1234L
Fall,1,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),A12L45
Fall,5,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),B134L5
Fall,3,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),C13L45
Fall,8,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),C13L45
Fall,7,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),D1235L
Fall,4,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),E123L5
Fall,9,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),E123L5
Fall,6,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),F1234L
Fall,2,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),G12L34
Fall,10,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),G12L34
Fall,1,CH4120 AP Chemistry (II): Kinetics & Energy,D1235L
Fall,1,CH4130 Organic Chemistry,B134L5
Fall,2,CH4130 Organic Chemistry,F1234L
Fall,1,CH4140 Environmental Chem (*R*),A12L45
Fall,1,CH4270 Analytical Chemistry,D1235L
Fall,1,CH4911 Research Computational Sci II,G12L34
Fall,1,CH4922 Research Chem III (*R*),F1234LG12L34
Fall,2,CH4922 Research Chem III (*R*),F1234LG12L34
Fall,1,CN3051 Journeys into Chinese I,C1345
Fall,2,CN3051 Journeys into Chinese I,D1235
Fall,1,CN3651 Navigating in Chinese + Global Understanding I,C13L45
Fall,2,CN3651 Navigating in Chinese + Global Understanding I,D1235L
Fall,1,CN4051 Advanced Chinese I,A1245
Fall,1,CN4060 Explorations in Chinese for Heritage Speakers,A1245
Fall,1,CN4851 AP Chinese Language and Culture I,B1345
Fall,1,CN4951 Advanced Readings in Chinese with Topics I,B1345
Fall ,1,CS4020 Web Development,C13L45
Fall ,2,CS4020 Web Development,E123L5
Fall ,1,CS4040 Game Design and Simulation,A12L45
Fall ,2,CS4040 Game Design and Simulation,G12L34
Fall,1,"CS4070/AR4070 Art, Technology, and Computing",E13L5L
Fall ,1,"CS4070/AR4070 Art, Technology, and Computing",E13L5L
Fall ,1,CS4120 Computing for Everyone,D1235L
Fall ,1,CS4240 Procedural and Object-Oriented Programming,B134L5
Fall ,2,CS4240 Procedural and Object-Oriented Programming,F1234L
Fall ,1,CS4300 Topics in Computer Science- Cybersecurity,H13
Fall ,1,CS4340 Data Structures with C,B134L5
Fall,1,DR4101 Theater Performance Workshop: Movement and Scene Study,H3
Fall ,1,EE3100 CAD/CAM,A12L45
Fall ,1,EE4000 Mechanical Engineering,A12L45
Fall ,2,EE4000 Mechanical Engineering,G12L34
Fall ,1,EE4020 Electrical Engineering,D1235L
Fall ,2,EE4020 Electrical Engineering,F1234L
Fall ,1,EE4040 Architecture,G12L34
Fall ,1,EE4080 Biomedical Engineering,A12L45
Fall ,2,EE4080 Biomedical Engineering,C13L45
Fall ,1,EE4100 Introductory Robotics,D1235L
Fall,2,EN4200 African Studies: Pre-Colonial Africa,F134L
Fall,1,EN4200 African Studies: Pre-Colonial Africa ,D135L
Fall,1,EN4211 East Asian Studies I ,C13L5
Fall,2,EN4211 East Asian Studies I ,E13L5
Fall,3,EN4211 East Asian Studies I ,G12L4
Fall,2,EN4241 Western European Cultural Studies I,I13
Fall,1,EN4241 Western European Cultural Studies I ,H13
Fall,1,EN4300 Creative Writing,A12L4
Fall,1,EN4400  AI in Science Fiction ,E13L5
Fall,2,EN4400 AI in Science Fiction,G12L4
Fall,1,EN4410 British Literature and Culture,C13L5
Fall,2,EN4420 Classical Myth: Epic and Tragedy,B14L5
Fall,1,EN4430 Modern World Fiction,H24
Fall,1,EN4460 Southern Studies ,B14L5
Fall,1,EN4470 STEM and the Stage,D135L
Fall,3,EN4610 Research in the Humanities,E13L5
Fall,1,EN4610 Research in the Humanities,H13
Fall,2,EN4610 Research in the Humanities ,H24
Fall,1,FR3051 Journeys into French I,A1245
Fall,1,FR3651 Navigating in French I,B1345
Fall,1,FR4051 Advanced French for Global Applications,E13L5
Fall,1,HU4000 Entrepreneurship,H4
Fall,1,HU440 Black Studies,B14L5
Fall,1,HU4410 Critical Race Theory ,D135L
